styles,parent,colors,ABV_RANGE,IBU_RANGE,description
California Common / Steam Beer,Other,#CF6900,4.0-6.0%,35-45,"The California Common, or Steam Beer, is a hybrid style unique to the US. It's usually brewed with a special strain of lager yeast that works better at warmer (ale-like) temperatures. This method dates back to the late 1800's in California when refrigeration was a great luxury. At the time, brewers had to improvise to cool the beer down, so shallow fermenters were used. In a way, the lager yeast was trained to ferment quicker at warmer temperatures. Today's examples are light amber to tawny red in color, medium bodied, and possess a malty character. Some mildly fruitiness along with an herbal yet assertive hop bitterness are also typical. San Francisco's Anchor Brewing Company trademarked the term ""Steam Beer"" and as such all other examples of the style must be legally referred to as ""California Common."""
Chile Beer,Other,#FEEB84,4.5-6.0%,0-0,"Beers with the addition of hot pepper juice, oils, or actual peppers, most commonly jalapeño chiles. Hotness can range from a subtle spiciness to palate scorching. Most often, chiles are added to pale ales and light lagers, but the base beer style can vary."
Cider,Other,#FBB123,3.0-15.0%,0-5,"Made from fermented apple juice, cider comes in a number of varieties. English cider is dry, with fruity, tannic qualities and low carbonation. This can be found cask-conditioned in England. Normandy is another major cider-producing region, with a sweeter, more effervescent, very complex style. Ciders produced elsewhere are often sweet, simple beverages for mass consumption, though there are some good English-style ciders in North America and Norman-style ciders in Quebec."
Cream Ale,Other,#FFCA5A,4.0-8.5%,10-22,"Cream Ales, spawned from the American light lager style, are brewed as an ale though are sometimes finished with a lager yeast or with lager beer mixed into the final product. Adjuncts such as corn or rice are frequently used to lighten the body but it is not uncommon for smaller craft brewers to make all malt Cream Ales. Pale straw to pale gold in color, they were known to have a low degree of hop bittering yet some hop aroma. More recently, a number of breweries have put their stamp on the style by giving it more of a hoppy character, nudging it toward Imperial. Well carbonated and well attenuated."
Czech Pilsener,Pilsner,#FBB123,4.1-5.1%,30-45,"Also known as Bohemian Pilsener, has a slightly sweet and evident malt character and a toasted, biscuit-like, bready malt character. Hop bitterness is perceived as medium with a low to medium-low level of noble-type hop aroma and flavor. This style originated in 1842, with “pilsener” originally indicating an appellation in the Czech Republic. Classic examples of this style used to be conditioned in wooden tanks and had a less sharp hop bitterness despite the similar IBU ranges to German-style Pilsener. Low-level diacetyl is acceptable. Bohemian-Style Pilseners are darker in color and higher in final gravity than their German counterparts."
Doppelbock,Bock,#BB5100,6.6-7.9%,17-27,"“Doppel” meaning “double,” this style is a bigger and stronger version of the lower-gravity German-Style Bock beers. Originally made by monks in Munich, the Doppelbock beer style is very food-friendly and rich in melanoidins reminiscent of toasted bread. Color is copper to dark brown. Malty sweetness is dominant but should not be cloying. Malt character is more reminiscent of fresh and lightly toasted Munich-style malt, more so than caramel or toffee malt. Doppelbocks are full-bodied, and alcoholic strength is on the higher end."
Dortmunder / Export Lager,German Lager,#FFD878,5.1-6.1%,23-29,"Sometimes referred to as a “Dortmunder export,” the European-Style Export has the malt-forward flavor and sweetness of a German-style Helles, but the bitter base of a German-style Pilsener. This lager is all about balance, with medium hop character and firm but low malt sweetness. Look for toasted malt flavors and spicy floral hop aromas."
Dubbel,Belgian Strong Dark Ale,#C35900,6.0-9.0%,15-30,"The Belgian Dubbel is a rich, malty beer with some spicy or phenolic and mild alcoholic characteristics. Not as much fruitiness as a Belgian Strong Dark Ale, but some dark fruit aromas and flavors may be present. Medium amber to deep brown, this style is recognizable for its mild hop bitterness with no lingering hop flavors. A Dubbel is also likely show signs of a sweeter caramel flavor from the use of crystal malt or dark candi sugar. Look for a medium to full body with an expressive carbonation and some dryness in the finish. Traditionally a Trappist ale, many breweries now make similar ""Abbey Dubbels"" to try and emulate the monastic originals (Trappist Westvleteren 8, Westmalle Trappist Dubbel, and Chimay Première)."
Dunkelweizen,Weissbier,#952D00,4.0-7.0%,10-15,"Similar to a Hefeweizen, these southern German wheat beers are brewed as darker versions (Dunkel means ""dark"") with deliciously complex malts and a low balancing bitterness. Creamy and full-bodied, most Dunkelweizen are medium amber to amber-brown and appear slightly murky from the weizen yeast. Phenolic (clove) and fruity (banana, bubble gum) character will usually be present in the nose, and some examples may even taste like banana bread."
English Barleywine,Other,#B54C00,8.5–15%,60–100,"Despite its name, a Barleywine (or Barley Wine) is very much a beer, albeit a strong and often intense beer. In fact, it's one of the strongest styles. Lively and fruity, sometimes sweet, sometimes bittersweet, but always alcoholic. A brew of this strength and complexity can be a challenge to the palate. Expect anything from an amber to a dark brown color, with aromas ranging from rich fruits to bold hops. The body is typically thick, alcohol will definitely be perceived, and flavors range from dominant dark fruits to palate smacking, resiny hops. English varieties are quite different from American efforts, which are often heavily hopped with high alpha oil American hops to create a more bitter brew. English versions tend to be more rounded and balanced with a slightly lower alcohol content, though this is not always the case. Most Barleywines can be cellared for years and will age much like wine."
English Bitter,Pale Ale,#D77200,3.0-5.0%,20-35,"The Bitter style came from brewers who wanted to differentiate these ales from other mild brews—enter pale malts and more hops. Usually gold to copper in color, most examples are light bodied and low in carbonation. Intended to be sessionable, alcohol should be low and not perceived on the palate. The hop bitterness meanwhile, is moderate to assertive. Most English Bitters have a fruitiness in the aroma and flavor; diacetyl can also be present. These beers are traditionally served cask conditioned, but many breweries now have bottled versions, too."
English Brown Ale,Brown Ale,#BB5100,4.2-7.0%,15-25,"Spawned from the Mild Ale tradition, English Brown Ales tend to be maltier and sweeter on the palate, with a somewhat fuller body. Color can range from a medium amber/reddish hue to dark brown. Some versions will lean towards fruity esters, while others tend to be drier with nutty characteristics. Roasty malt notes give this style complexity, but almost every example has both a minimal amount of hop aroma and low degree of hop bitterness. As with most historical English styles, alcohol levels are kept low to promote drinkability."
English Dark Mild Ale,Brown Ale,#8B2900,3.0-6.0%,20-30,"The quintessential British session beer, like its name suggests, a Mild is known for its low level of hop character. Similarly, the alcohol content is traditionally very low, too. Colors can range from medium amber to rich brown. Low carbonation with a nearly still, slightly bubbly head and little to no hop aroma. Grainy to toasty malts might be present, but expect some body from the high dextrins produced during brewing. Traditionally Dark Milds were a draft beer made popular in London and the Midlands of England."
English India Pale Ale (IPA),India Pale Ale,#DE7C00,4.5-7.0%,35-60,"Historically, English breweries exported a variety of beer styles to colonies across the British empire. But shipping ales to troops stationed in India was a particular challenge in an age when the journey took months and every cask contained wild Brettanomyces yeast. To withstand the voyage, Pale Ales were tweaked to be maltier, higher in alcohol content, and hoppier, as hops are a natural preservative. Historians believe that IPA was then watered down for the troops, while officers and the elite would savor the beer at full strength. Over time, taxation has caused the English IPA to assume a lower alcohol. The leaner the brew the less malt is required, and less is the need for a strong hop presence, which would easily put the brew out of balance. Expect earthy, floral English hop character and a malt profile defined by notes of biscuit, toast, and toffee."
English Pale Mild Ale,Pale Ale,#F8A600,3.0-5.0%,15-25,"Similar in many ways to an ordinary Bitter, yet not as hoppy, the English Pale Mild Ale is a delicate, malt-forward brew. Lighter in color than Dark Milds, this style ranges from a pale amber to a deep amber or even an amber brown. Fruitiness, sulfur, and buttery diacetyl may be present in the nose, while hops—traditionally English in origin—are generally subdued yet offer a balancing bitterness. The low alcohol range makes this type of ale a perfect session beer. Not as popular as it has been in the past, Pale Mild is nonetheless an ale for those who appreciate nuance and a bit of history in their pint glass."
English Stout,Stout,#470606,4.0-7.0%,20-40,"Stouts are typically dark brown to pitch black in color. A common profile among Stouts, but not in all cases, is the use of roasted barley (unmalted barley that is kilned to the point of being charred) which lends a dry character to the beer as well as a huge roasted flavor that can range from burnt to coffee to chocolate. Traditional English Stout recipes rely on bitterness from the roasted grain to provide a dry finish and consequently tend to show very little hop character."
English Strong Ale,Strong Ale,#BB5100,5.5-11.0%,40-60,"Bigger than a Pale Ale yet smaller than a Barleywine, the English Strong Ale is a rich and complex beer. Many examples are unfiltered and bottle conditioned. The color tends to land somewhere between amber and reddish copper. English Strong Ales usually end up as a bold mix of fruity, estery, and malty. Hop character can vary from mildly bitter to a full blown with a bold hop flavor and aroma. Similarly, the alcohol level varies and can be quite noticeable, with a hint of solvent possible."
Euro Dark Lager,European Lager,#A63E00,4.0-7.0%,8-40,"This style encompasses a wide range of dark beers including India Pale Lagers, Czech lagers, and lagers brewed with adjuncts or non-traditional ingredients. In time these entries will be moved into more accurate categories."
Euro Pale Lager,European Lager,#FFBF42,4.0-6.0%,18-25,"Similar to Munich Helles, many European countries reacted to the popularity of early pale lagers by brewing their own. Hop flavor is significant and of noble varieties, bitterness is moderate, and both are backed by a solid malt body and sweet notes from an all-malt base."
Extra Special / Strong Bitter (ESB),English Pale Ale,#C35900,4.0-7.0%,20-40,"Extra Special Bitters are essentially more aggressive and more balanced Bitters, both in alcohol and hop character. They shouldn't be overpowering, however. The color range will be similar, though ESBs lean toward the darker end of the scale; dark golds to copper. Low in carbonation, this style is commonly served on cask. Malts, often toasty and fruity, tend to be more pronounced, with the possibility of some diacetyl notes. And despite the word ""bitter"" in the name, these beers are not really all that bitter. The key to an ESB is balance and drinkability"
Flanders Oud Bruin,Belgian / French Ale,#A13700,4.0-8.0%,20-25,"Oud Bruins, not restricted to, but concentrated in Flanders, are light to medium-bodied and deep copper to brown in color. They are extremely varied, characterized by a slight vinegar or lactic sourness and spiciness to smooth and sweet. A fruity-estery character is apparent with no hop flavor or aroma. Low to medium bitterness. Very small quantities of diacetyl are acceptable. Roasted malt character in aroma and flavor is acceptable, at low levels. Oak-like or woody characteristics may be pleasantly integrated into the overall palate. Typically, old and new Brown Ales are blended, like Lambics."
Flanders Red Ale,Belgian / French Ale,#CB6200,4.6-6.5%,10-25,"A sour, fruity, red wine-like Belgian-style ale with supportive malt flavors and fruit complexity with a dry finish and tannin characteristics. Typically light-bodied with reddish-brown colors, they are known for their distinct sharp, fruity, sour, and tart flavors which are created by special yeast strains. Very complex beers, they are produced under the age-old tradition of long-term cask aging in oak, and the blending of young and old beers."
Foreign / Export Stout,Stout,#470606,5.5-8.0%,30-70,"A special style of Stout that is brewed bigger than normal for a long journey, the more traditional Foreign / Export Stouts will be found in the tropical regions of the world. Higher in alcohol with a very pronounced roasted character. Expect moderate to high roasted grain and malt flavor with a coffee, chocolate, or lightly burnt grain character, although without a sharp bite. Moderately dry with low to medium esters and medium to high bitterness. Moderate to no hop flavor, can be earthy, herbal, or floral."
Fruit / Vegetable Beer,Lambic & Sour Ale,#952D00,3.0-13.0%,5-70,"Fruit beer is made with fruit, or fruit extracts that are added during any portion of the brewing process, providing obvious yet harmonious fruit qualities. This idea is expanded to “field beers” that utilize vegetables and herbs.
This style may includes pumpkin flavored beers that have caught the attention of craft beer and pumpkin lovers everywhere, partially because the flavors can be implemented in several beer styles. Whether you’re interested in trying pumpkin amber ales, IPAs or pumpkin stouts, there are plenty of options from American craft brewers for you to explore."
German Pilsener,Pilsner,#FFCA5A,4.6-5.3%,25-40,"A classic German-style Pilsner is straw to pale in color with a malty sweetness that can be perceived in aroma and flavor. Perception of hop bitterness is medium to high. Noble-type hop aroma and flavor are moderate and quite obvious. Distinctly different from the Bohemian-style pilsner, this style is lighter in color and body and has a lower perceived hop bitterness."
Gose,Lambic & Sour Ale,#FFCA5A,4.4-5.4%,10-15,"Straw to medium amber, the contemporary Gose is cloudy from suspended yeast. A wide variety of herbal, spice, floral or fruity aromas other than found in traditional Leipzig-Style Gose are present, in harmony with other aromas. Salt (table salt) character is traditional in low amounts, but may vary from absent to present. Body is low to medium-low. Low to medium lactic acid character is evident in all examples as sharp, refreshing sourness."
Grisette,Belgian / French Ale,#C35900,4.5-8.0%,20-40,Fruity esters dominate the aroma. Clarity is good with a large foamy head on top. The addition of several spices and herbs create a complex fruity or citrusy flavor. Light to medium bodied with very high carbonation. Alcohol level is medium to high.
Hefeweizen,Weissbier,#FFBF42,4.0-7.0%,10-15,"A south German style of wheat beer (weissbier) typically made with a ratio of 50 percent barley to 50 percent wheat. Sometimes the percentage of wheat is even higher. ""Hefe"" means ""with yeast,"" hence the beer's unfiltered and cloudy appearance. The particular ale yeast used produces unique esters and phenols of banana and cloves with an often dry and tart edge, some spiciness, and notes of bubblegum or apples. Hefeweizens are typified by little hop bitterness, and a moderate level of alcohol. Often served with a lemon wedge (popularized by Americans), to cut the wheat or yeasty edge, some may find this to be either a flavorful snap or an insult that can damage the beer's taste and head retention."
Herbed / Spiced Beer,Other,#8B2900,2.5-12.0%,5-40,"An herb and spice beer is a lager or ale that contains flavors derived from flowers, roots, seeds or certain fruits or vegetables. Typically the hop character is low, allowing the added ingredient to shine through. The appearance, mouthfeel and aromas vary depending on the herb or spice used. This beer style encompasses innovative examples as well as traditional holiday and winter ales."
Irish Dry Stout,Stout,#520907,4.2-5.3%,30-40,"Dry Stout is black beer with a dry-roasted character thanks to the use of roasted barley. The emphasis on coffee-like roasted barley and a moderate degree of roasted malt aromas define much of the character. Hop bitterness is medium to medium high. This beer is often dispensed via nitrogen gas taps that lend a smooth, creamy body to the palate."
Irish Red Ale,Irish Ale,#CF6900,4.0-6.0%,20-30,"Irish red ale is known for its unique malty taste and is on the lower side of the bitterness and alcohol content scales. If you love American craft beer, the Irish red ale beer remains a great style for beer lovers to seek out and appreciate."
Kolsch,Other,#FFBF42,4.0-6.0%,18-25,"First brewed in Köln, Germany, this formerly obscure style is now found at many US brewpubs and a number of breweries have released their own creative takes using American hops and other nontraditional ingredients. Light to medium in body with a soft mouthfeel and a straw yellow or pale gold color, Kölsch has a spicy, herbal Noble hop bitterness that is medium to slightly assertive—less than a Pilsner, but not by much. A somewhat fruity or vinous (grape-y from malts) quality and a crisp, dryish finish make up the rest of the flavor profile."
Keller Bier / Zwickel Bier,German Lager,#FBB123,4.0-7.0%,20-40,"A rather old, rare, and unique German beer style, Kellerbiers are unfiltered and unpasteurized lagers that date back to at least the Middle Ages. The beer is matured, unbunged (beer is exposed), in deep vaults. The final product is a smooth, naturally cloudy beer that's rich in vitamins from the yeast. Hop bitterness can be high and alcohol will vary. Zwickelbier is similar to a Keller, but not as pronounced."
Kristalweizen,Weissbier,#FFD878,4.0-7.0%,10-15,"A filtered version of a Hefeweizen, showcasing a bright and clear body that ranges from pale straw to light amber in color. The overall character will be cleaner and softer on the palate, and the typical banana and phenols will be more subtle."
Light Lager,American Lager,#FFD878,2.5-5.0%,8-12," Light Lager is generally a lighter version of a brewery's premium lager, some are lower in alcohol but all are lower in calories and carbohydrates compared to other beers. Typically a high amount of cereal adjuncts like rice or corn are used to help lighten the beer as much as possible. Very low in malt flavor with a light and dry body. The hop character is low and should only balance with no signs of flavor or aroma. European versions are about half the alcohol (2.5-3.5% ABV) as their regular beer, yet show more flavor (some use 100 percent malt) then the American counterparts. For the most part, this style has the least amount of flavor than any other style of beer."
Low Alcohol Beer,American Adjunct Lager,#FEEB84,0.1-1.0%,10-20,"Low Alcohol Beer is also commonly known as Non Alcohol (NA) beer, despite containing small amounts of alcohol. Low Alcohol Beers are generally subjected to one of two things: a controlled brewing process that results in a low alcohol content, or the alcohol is removed using a reverse-osmosis method which passes alcohol through a permeable membrane. They tend to be very light on aroma, body, and flavor."
Marzen / Oktoberfest,German Lager,#CB6200,5.0-6.5%,18-25,"Before refrigeration, it was nearly impossible to brew beer in the summer due to the hot weather and bacterial infections. Brewing ended with the coming of spring, and began again in the fall. Thus, most were brewed in March (Märzen). These beers were kept in cold storage through the spring and summer months, or brewed at a higher gravity, so theywould last longer. Märzenbier is full-bodied, rich, and toasty, with a moderately high alcohol content. Its color can be anywhere from pale gold to medium amber, but is typically some shade of copper. Like other dark lagers, the aroma is driven by malt, not hops. Best enjoyed by the half liter in a Bavarian beer garden."
Maibock / Helles Bock,Bock,#EA8F00,6.3-8.1%,20-38,"Also called “Heller Bock” (meaning “Pale Bock”), the German-Style Maibock is paler in color and more hop-centric than traditional Bock beers. A lightly toasted and/or bready malt character is often evident."
Mead,Other,#FBB123,10-17%,5-30,"Mead is a drink made from fermented honey. This gives a somewhat sweet aroma and flavor to the drink. Overall, however, the sweetness generally does not overpower the sharpness of the alcohol. Some brewers also use specific types of honey made from specific flowers and bees to impart subtle flavor differences. The ABV for mead can vary widely. In examples with a high ABV, the alcohol will be very notable in both aroma and flavor."
Milk / Sweet Stout,Stout,#470606,3.2-6.3%,15-25,"Sweet Stout, also referred to as Cream Stout or Milk Stout, is black in color. Malt sweetness, chocolate, and caramel should dominate the flavor profile and contribute to the aroma. It also should have a low to medium-low roasted malt/barley-derived bitterness. Milk sugar (lactose) lends the style more body. This beer does use lactose sugar, so people with an intolerance should probably avoid this style."
Munich Dunkel Lager,Munich Lager,#952D00,4.0-6.0%,15-25,"An old friend of Bavaria, Munich Dunkels are smooth, rich, and complex without being overly heady or heavy. They boast brilliant ruby hues from the large amounts of Munich malts used, and these malts also create a fuller-bodied beer. In addition, the decoction brewing process lends much depth and richness of flavor. Little to no hop aroma is detectable; the nose is dominated by malty notes of bread, nuts, and perhaps a touch of chocolate. Hop varieties used tend to be German Noble varieties like Tettnanger and Hallertau. Bitterness is often moderate, with just enough to balance out any sweetness."
Munich Helles Lager,Munich Lager,#FFBF42,4.8-5.6%,18-25,"“Helles” means “pale in color,” as these beers are often golden. The German-style Helles lager is a bit rounder or fuller-bodied than light lager and even all-malt pilsners. Helles lager beers offer a touch of sweetness that balance a measurable addition of spicy German hop flavor and light bitterness. The malt character is soft and bready, making it a terrific complement to light dishes such as salad or fresh shellfish, like clams. Clean and crisp, this is a refreshing beer with substance. Low levels of yeast-produced sulfur aromas and flavors may be common."
Oatmeal Stout,Stout,#5A0A02,3.8-6.1%,20-40,"The addition of oatmeal adds a smooth, rich body to the Oatmeal Stout. This beer style is dark brown to black in color. Roasted malt character is caramel-like and chocolate-like, and should be smooth and not bitter. Coffee-like roasted barley and malt aromas are prominent. This low- to medium-alcohol style is packed with darker malt flavors and a rich and oily body from oatmeal."
Old Ale,Strong Ale,#B54C00,6.0-12.0%,30-65,"Old Ales, also referred to in the past as Stock Ales, are low attenuated beers with high levels of dextrins, creating a full malt body with plenty of character. Old Ales from centuries past were often transferred into vats to mature, hence the name. Commonly a rich, dark amber to a deep brown color, some examples are nearly black. Tamed aromatics. Although bittering levels can greatly vary, expect fruity, vinous, intense malt flavors and sharp alcohol characteristics. The often racy but mellow attitude of the beer may also include acidic notes, raisins, and black currants. Vintage varieties may have a low level of oxidation while stronger versions sometimes exhibit similarities to port wine. Brewers may also inoculate a portion of the batch with Brettanomyces lambicus and age it for an extended period of time to achieve an old-school acidic character."
Pumpkin Ale,American Wild Ale,#8B2900,2.3-12.0%,5-70,"Nothing says fall quite like pumpkins and beer, and American craft breweries have done a superb job of combining the two. It’s tough to find anything that hasn’t been “pumpkin spiced,” and beers are no different. Pumpkin flavored beers have caught the attention of craft beer and pumpkin lovers everywhere, partially because the flavors can be implemented in several beer styles. Whether you’re interested in trying pumpkin amber ales, IPAs or pumpkin stouts, there are plenty of options from American craft brewers for you to explore."
Quadrupel (Quad),Belgian Strong Dark Ale,#952D00,9.0-14.0%,25-50,"Inspired by the Trappist brewers of Belgium, a Quadrupel is a Belgian-style ale of great strength with even bolder flavor compared to its sister styles Dubbel and Tripel. Typically a dark creation that plays within the deep red and ruby brown end of the spectrum with garnet hues it is a full bodied beer with a rich, malty palate and spicy phenols than are usually kept to a moderate level. Sweet on the palate with a low bitterness yet well perceived alcohol, Quads are well suited to cellaring."
Radler / Shandy,Other,#FEEB84,2.5-7.0%,0-15,"A mix of a sweet soft drink or juice -- typically lemon or ginger but sometimes apple, grapefruit, or other fruit -- and beer, often in equal parts, that is moderately sweet, thirst quenching, and low in alcohol with medium to spritzy carbonation. It is often but not necessarily sold as a Summer seasonal. Category includes such regional styles as diesel -- beer and cola, cola-weizen -- wheat beer and cola, and Russ'n. There must be at least 50% beer or cider in this drink to be rateable on RateBeer."
Rauchbier,German Lager,#B54C00,4.8-6.0%,20-30,"Rauchbier is an old German beer style with origins in the 1500s from the district of Franconia and the town of Bamberg. Typically dark to amber in color, it shares similarities with Oktoberfestbier. Green malts are dried over an open fire of beechwood, imparting a unique smokiness (""rauch"" is German for smoke) to the final beverage. Expect toasty-rich malt in aroma and flavor, restrained bitterness, low to high smoke flavor, clean fermentation profile, and an attenuated finish."
Roggenbier,German Ale,#BB5100,4.5-6.0%,10-20,"Roggenbier is akin to a Dunkelweizen made with rye rather than wheat, but with a greater body and light finishing hops. Expect a very pronounced spiciness and sour-like rye character, malty flavor, and a clean hop character. Often unfiltered and bottle-conditioned, Roggenbiers tend to be rather turbid and foamy."
Russian Imperial Stout,Imperial Stout,#440607,8.0-12.0%,50-90,"Russian Imperial Stout, first brewed in England for Emperor Peter the Great of Russia, are higher in alcohol than traditional English Stouts. The best examples are full bodied, rich, and complex, and will often have flavors and aromas of dried fruit, coffee, and dark chocolate. Often dry, flavors of higher alcohol is quite evident. Hop character can vary from none, to balanced or aggressive."
Specialty Grain - Other,Other,#F0F0F0,--,--,"Beer made with a speciality grain, most typically rye, but also common are rice, sorghum, millet, corn, buckwheat, oats and spelt. As this is a catch-all category, alcohol levels, bitterness, and color vary."
Saison / Farmhouse Ale,Belgian / French Ale,#C35900,4.5-8.5%,20-40,"The Saison (or Farmhouse Ale) is a French/Belgian style. It ranges in color from gold to dark amber. They are light to medium in body. The dominant quality in the aroma should be fruity esters, with hints of malt sweetness, spices, a slight sour character, and minimal alcohol. Hop presence in both aroma and flavor can vary widely within the style, from low to medium-high. Spice notes should be evident in both aroma and flavor, usually presenting as black pepper hints. Fruit flavors like dark fruits and bananas should also be noted, along with a very minimal hint of sour. "
Schwarzbier,German Lager,#771900,3.8-5.2%,20-30,"Schwarzbier (""shvahrts-beer""), is simply German for black beer. It doesn't mean that it is necessarily heavy or light in body, although most examples tend to be lighter. Unlike Porters or Stouts and other dark beers, they are not overly bitter with the burnt and heavily roasted malt characteristics that these styles tend to depend on. Instead, hops are used to achieve a good portion of the bitterness. Smooth on the palate, soul lifting, and refreshing with a dry finish, Schwartzbiers make a great alternative for the winter months, especially when you're looking for a lighter beer, but one with depth of color and a bittersweet taste that might bring to mind coffee, cocoa, or licorice."
Scotch Ale / Wee Heavy,Strong Ale,#A13700,6.6-8.5%,25-35,"Scotch Ale was the name given to a strong pale ale from Edinburgh in the 19th century. This was typical of the strong pale ales brewed in Britain at that time - mainly pale barley malt and moderate hopping, and were not that stylistically different to English Strong Ales or Barley Wines. The name however became regionalised so that a strong pale ale from Scotland became known as a Scotch Ale or Wee Heavy. Beers using the designation Scotch Ale are popular in the USA where most examples are brewed locally ale from Scotland became known as a Scotch Ale or Wee Heavy. Beers using the designation Scotch Ale are popular in the USA where most examples are brewed locally."
Smoked Beer,Other,#7B1A00,4.5-7.0%,20-30,"When malt is kilned over an open flame, the smoke flavor becomes infused into the beer, leaving a taste that can vary from dense campfire, to slight wisps of smoke. Any style of beer can be smoked; the goal is to reach a balance between the style’s character and the smoky properties. Originating in Germany as Rauchbier, this style is open to interpretation by U.S. craft brewers. Classic base styles include German-style Marzen/Oktoberfest, German-style Bock, German-style Dunkel, Vienna-style Lager and more. Smoke flavors dissipate over time."
Tripel,Belgian Strong Pale Ale,#EA8F00,8.0-12.0%,20-40,"The name ""Tripel"" actually stems from part of the brewing process, in which brewers use up to three times the amount of malt found in a standard Trappist table beer. Traditionally, Tripels are bright yellow to deep gold in color, a shade or two darker than the average Pilsener. The head should be big, dense, and creamy. Expect a complex aroma and flavor: spicy phenols, powdery yeast, and fruity esters with a sweet finish. Sweetness comes from both the pale malts and the higher alcohol. Bitterness is up there for a strong beer with such a light body, but it can be hard to perceive in well balanced versions. The lighter body comes from the use of Belgian candi sugar (up to 25 percent sucrose), which not only lightens the body, but also adds various alcoholic aromas and flavors. Small amounts of spices are sometimes added as well. Tripels are notoriously alcoholic, yet the best examples hide this quality quite deceivingly, making them beers for sipping."
Vienna Lager,German Lager,#CF6900,4.5-5.5%,15-30,"Named after the city in which it originated, a traditional Vienna Lager is brewed using a three step decoction boiling process. Munich, Pilsner, Vienna, and dextrin malts are used, as well wheat in some cases. Its color reliably falls between pale amber and medium amber—there should be a reddish hue to examples of this style. Noble hops are used subtly, with the resulting beer having a crisp quality, a toasty flavor and some residual caramel-like sweetness. Vienna Lager and German Märzen have much in common. Although Austrian in origin and rare these days, some classic examples come from Mexico, such as Dos Equis Amber, the result of late 19th century brewers immigrating from Austria."
Winter Warmer,Other,#952D00,6.0-8.0%,15-35,"Winter Warmer is a traditional malty-sweet English Strong Ale that is brewed in the winter months. It is usually quite dark, but not as dark as a stout, with a notable malt presence. Spices are sometimes added to the brewing process, especially in the United States."
Witbier,Belgian / French Ale,#FFBF42,4.0-7.0%,10-20,"Belgian in origin, this unfiltered style of ale is pale and cloudy in appearance due to the high level of wheat, and sometimes oats, used in the mash. Always spiced, generally with coriander, orange peel, and occasionally other spices or herbs in the background. The crispness and slight tang comes from the wheat and the lively level of carbonation. This is one style that many US brewers have taken a liking to, and have done a very good job of staying to style. Sometimes served with a lemon, order one without a garnish if you truly want to enjoy the untainted subtleties of this style. Often referred to as ""white beers"" (witbieren) due to the cloudiness created by yeast in suspension."
